Stornoway						
"Location: 146400E 933200N, Lat 58.214 Lon -6.318, 15 metres amsl"						
Estimated data is marked with a * after the value.						
Missing data (more than 2 days missing in month) is marked by  ---.						
"Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder."						
yyyy	mm	tmax	tmin	af	rain	sun
		degC	degC	days	mm	hours
2013	3	6.6	1.5	9	36.6	132.4#
2013	4	9	2.4	8	97.2	182.2#
2013	5	11.5	5.4	0	97	182.1#
2013	6	14.5	9.2	0	35.6	135.5#
2013	7	18.1	11.7	0	44	183.2#
2013	8	16.6	11.3	0	104.6	102.1#
2013	9	14.6	8.8	0	81.1	101.5#
2013	10	12.7	7.9	0	140.2	65.4#
2013	11	8.9	3.3	2	124.4	31.0#
2013	12	8.6	3.9	2	248.8	11.2#
2014	1	7.5	3.5	2	138.8	28.5#
2014	2	7.6	2.9	1	147.6	54.3#
2014	3	9.6	4.3	1	105.2	104.3#
2014	4	11.4	6.1	0	86.4	164.1#
2014	5	12.7	7.5	0	62.8	127.0#
2014	6	16.3	10.8	0	49.4	140.9#
2014	7	18.2	12.2	0	65.6	193.9#
2014	8	15.9	10.3	0	141.4	143.9#
2014	9	15.5	10.2	0	48.2	101.2#
2014	10	12.5	7	0	198	76.8#
2014	11	11	5.7	0	90.4	52.5#
2014	12	7.6	2.2	1	168.2	20.3#
2015	1	6.9	1.8	6	198.6	30.1#
2015	2	7.3	2.6	4	115.2	45.3#
2015	3	8.3	2.5	2	166.8	123.5#
2015	4	10.1	3.7	1	65	184.2#
2015	5	11.2	5.2	1	121.4	168.8#
2015	6	13.4	7.7	0	99.2	93.6#
2015	7	15.4	9.7	0	110.4	120.7#
2015	8	15.8	10.5	0	89	112.4#
2015	9	14.4	9.1	0	36.8	111.0#
2015	10	13.3	7.9	0	71.4	70.8#
2015	11	9.8	5.3	1	155.8	31.3#
2015	12	9.2	3.7	1	268.4	21.1#
